Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
81,TROO,Technology,Software—Application,NASDAQ,183.86,98,94,81,8
82,RIOT,Technology,Software—Application,NASDAQ,182.54,98,81,17,14
83,GOTU,Consumer Defensive,Education & Training Services,NYSE,181.03,98,99,99,14
84,TPST,Healthcare,Biotechnology,NASDAQ,180.68,98,9,17,10
85,ALDX,Healthcare,Biotechnology,NASDAQ,179.86,98,96,95,92
86,TYRA,Healthcare,Biotechnology,NASDAQ,179.63,98,98,42,19
87,ATCX,Industrials,Engineering & Construction,NASDAQ,178.28,98,98,24,58
88,IMVT,Healthcare,Biotechnology,NASDAQ,178.26,98,99,99,99
89,VATE,Industrials,Engineering & Construction,NYSE,177.92,98,98,98,2
90,TRMD,Energy,Oil & Gas Midstream,NASDAQ,177.71,98,99,99,99
91,STIX,Technology,Software—Application,NASDAQ,177.41,98,99,2,0
92,ACLS,Technology,Semiconductor Equipment & Materials,NASDAQ,177.16,98,98,97,54
93,SONM,Technology,Communication Equipment,NASDAQ,175.87,98,24,26,14
94,GEOS,Energy,Oil & Gas Equipment & Services,NASDAQ,175.83,98,93,40,29
95,ASRT,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,175.54,98,98,97,90
96,SLQT,Financial Services,Insurance Brokers,NYSE,175.39,98,99,22,1
97,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,175.23,98,98,86,98
98,CDZI,Utilities,Utilities—Regulated Water,NASDAQ,175.05,98,98,97,18
99,WDH,Financial Services,Insurance—Diversified,NYSE,174.05,98,99,99,30
100,WFRD,Energy,Oil & Gas Equipment & Services,NASDAQ,173.74,98,97,98,97
101,RRGB,Consumer Cyclical,Restaurants,NASDAQ,173.47,98,93,29,19
102,ELEV,Healthcare,Biotechnology,NASDAQ,173.38,98,33,12,8
103,DTC,Consumer Cyclical,Internet Retail,NYSE,173.38,98,92,18,17
104,COCO,Consumer Defensive,Beverages—Non-Alcoholic,NASDAQ,173.27,98,96,89,86
105,TAYD,Industrials,Specialty Industrial Machinery,NASDAQ,173.01,98,97,95,92
106,PPTA,Basic Materials,Other Precious Metals & Mining,NASDAQ,173.0,98,96,83,11
107,TMDX,Healthcare,Medical Devices,NASDAQ,172.93,98,99,99,99
108,MAXN,Technology,Solar,NASDAQ,172.05,98,97,97,97
109,DAKT,Technology,Electronic Components,NASDAQ,171.7,98,98,36,28
110,TNK,Energy,Oil & Gas Midstream,NYSE,171.69,98,99,96,99
111,PLX,Healthcare,Biotechnology,NYSE MKT,171.39,98,98,96,66
112,ALGM,Technology,Semiconductors,NASDAQ,170.48,98,97,95,43
113,PRQR,Healthcare,Biotechnology,NASDAQ,170.18,98,99,99,30
114,PLRX,Healthcare,Biotechnology,NASDAQ,169.96,98,99,97,99
115,CYCCP,Healthcare,Biotechnology,NASDAQ,169.86,98,99,97,78
116,BWEN,Industrials,Specialty Industrial Machinery,NASDAQ,168.9,98,98,99,87
117,SGML,Basic Materials,Other Industrial Metals & Mining,NASDAQ,168.77,98,98,97,99
118,MUX,Basic Materials,Other Precious Metals & Mining,NYSE,168.64,98,96,96,20
119,REPX,Energy,Oil & Gas E&P,NYSE MKT,168.59,98,92,89,60
120,CPS,Consumer Cyclical,Auto Parts,NYSE,168.2,98,99,99,33
121,GHM,Industrials,Specialty Industrial Machinery,NYSE,168.15,98,97,88,60
122,PLPC,Industrials,Electrical Equipment & Parts,NASDAQ,167.79,98,97,93,94
123,TCMD,Healthcare,Medical Devices,NASDAQ,167.46,98,96,93,15
124,TGLS,Basic Materials,Building Materials,NYSE,167.14,98,98,96,64
125,RMBS,Technology,Semiconductors,NASDAQ,166.59,98,96,96,90
126,GNE,Utilities,Utilities—Regulated Electric,NYSE,166.02,98,70,96,96
127,PI,Technology,Communication Equipment,NASDAQ,165.63,98,97,97,96
128,NVDA,Technology,Semiconductors,NASDAQ,165.34,98,94,62,17
129,ASC,Industrials,Marine Shipping,NYSE,165.26,98,99,99,99
130,ZEUS,Basic Materials,Steel,NASDAQ,164.95,98,97,95,53
