Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
28,Banks—Regional,Financial Services,101.57,81,66,43,7,"SHFS,INTR,CUBI,FINW,FFWM,MBIN,WAL,LOB,AMAL,BMA,AMNB,VBNK,SUPV,FRST,MCB,FUNC,INBK,BOH,BLX,CIB,ORRF,CADE,AX,ACNB,PNFP,IBCP,BKU,BFST,CVCY,AROW,HWBK,EQBK,ABCB,CWBC,FITB,GGAL,ITUB,RBB,NBN,COFS,UNB,BPOP,CBAN,OZK,SMMF,MBWM,CBNK,BBD,PVBC,CFB,CMA,ZION,TFIN,CNOB,KEY,FBK,DB,OPHC,CALB,WBS,CSTR,OFG,UMBF,CATY,FCNCA,SFST,CVLY,MSBI,HBNC,SMBC,NRIM,DCOM,BSBR,PEBK,BBDO,WNEB,FSBW,FBP,USB,BCML,MCBS,FMBH,PFC,HOPE,FBIZ,SNV,CHMG,COLB,FCBC,ESSA,RBCAA,MRBK,FVCB,BSRR,FNWB,PEBO,FRBA,AMTB,QCRH,HBCP,VLY,OBT,ASB,CFFI,PNC,SFBS,BUSE,WTFC,WABC,AUB,ISTR,ALRS,FULT,BPRN,IBTX,SSBK,HWC,UNTY,NECB,FFIC,TBBK,FISI,UBSI,CAC,PCB,FDBC,PPBI,HTBI,PRK,FUSB,TOWN,FSBC,HMNF,LNKB,CHCO,FXNC,CFBK,CFG,TCBX,CCNE,EBMT,BWFG,SRCE,FNB,BWB,LKFN,NBTB,CVBF,TFC,SSB,BOTJ,GBCI,BFIN,EGBN,THFF,FCF,IBOC,LSBK,FRME,OPBK,HTH,BY,CZWI,CNOBP,CZNC,HBAN,VBTX,INDB,PFBC,CTBI,BHB,WSFS,BCH,BBAR,CPF,CBFV,AVAL,SPFI,PKBK,ATLO,MCBC,SBCF,TRMK,FBNC,FMNB,BSAC,BSVN,NKSH,TFSL,VABK,WTBA,STEL,MFG,AFBI,ASRV,HTLF,GSBC,TCBI,RBKB,JMSB,RNST,STBA,MOFG,KRNY,HONE,PB,USCB,DCOMP,TCBK,ESQ,PLBC,ONB,OZKAP,FHB,RRBI,OVLY,PFIS,HOMB,SASR,SHBI,BRKL,CATC,MBINO,NFBK,NWFL,FFNW,FIBK,GNTY,CASH,FNLC,WAFD,MBINN,OSBC,WSBC,CBU,GCBC,MGYR,NWBI,UBFO,NIC,BMRC,BWBBP,SBFG,HBT,GABC,LBC,MBCN,NBHC,FMAO,FITBO,CCB,BHLB,CFFN,HMST,PDLB,FFBC,BAP,EFSC,LYG,HFWA,FHN,BANF,MTB,FNCB,SFNC,HAFC,IBN,BANR,CLBK,SYBT,EBC,UVSP,RVSB,BCBP,FSFG,TCBS,HTBK,TSBK,RF,FCNCO,FCCO,MVBF,CIVB,CFR,EVBN,HBANP,BLFY,GBNY,WMPN,OCFC,CARE,WSBF,EFSCP,MBINP,BFC,MNSB,FBMS,UCBI,HBANM,ZIONP,VLYPO,SHG,SBSI,UBCP,WF,FITBP,SFBC,FULTP,SMBK,PBFS,LCNB,LARK,MSBIP,WTFCP,NSTS,NYCB,PGC,EBTC,VLYPP,FRMEP,WSBCP,CZFS,UCBIO,BOKF,HTLFP,TFINP,FCAP,HDB,FFIN,WTFCM,MPB,ZIONO,CBSH,TCBIO,PFS,BAFN,ECBK,LBAI,ONBPP,FITBI,FCNCP,WASH,IROQ,FLIC,OCFCP,TRST,BANC,ONBPO,MBNKP,MBINM,FNWD,CULL,WAFDP,CCNEP,KB,TECTP,RMBI,AUBN,MNSBP,IFS,PNFPP,PBBK,CLST,TCBC,TMP,PROV,MYFW,FGBIP,FSEA,HIFS,FRAF,HNVR,CCBG,BSBK,BCOW,OPOF,PWOD,FGBI,SBT,HFBL,BYFC,CFSB,TBNK,GLBZ,OVBC,PBHC,VBFC,SSBI,KFFB,CARV,PNBK,BRBS"
29,Oil & Gas Midstream,Energy,101.0,80,83,88,54,"LPG,NGL,TNK,FRO,OSG,ETRN,GLP,TK,TNP,STNG,TRMD,INSW,DHT,GEL,NVGS,AM,PAGP,PAA,VNOM,NS,OKE,PBA,TRGP,CQP,WMB,ENLC,ET,DLNG,TRP,LNG,EURN,MPLX,WES,HESM,KMI,DTM,GLNG,ENB,FLNG,SMLP,EPD,KNTK,DKL,MMLP,GPP,MARPS,PBT,BANL,BROG"
30,Conglomerates,Industrials,100.21,80,72,34,71,"NNBR,RCMT,GFF,CRESY,BBU,IRS,FIP,CODI,MMM,HON,JBK,SEB,MDU,TRC,SPLP,MATW,TUSK,VMI,IGC,IEP,EFSH"
31,Financial Data & Stock Exchanges,Financial Services,99.75,79,84,82,48,"MORN,CBOE,MCO,SPGI,ICE,DNB,FDS,MSCI,CME,NDAQ,VALU"
32,Aluminum,Basic Materials,99.44,78,16,35,60,"CENX,CSTM,AA,KALU"
33,Apparel Retail,Consumer Cyclical,99.42,78,83,56,11,"ANF,CURV,GPS,AEO,HIBB,LULU,CTRN,BKE,VSCO,BURL,ROST,URBN,GES,SCVL,FL,TJX,CRI,ONON,ZUMZ,GCO,JILL,BOOT,TLYS,SFIX,CATO,DLTH,BIRD,LVLU,DBI,DXLG,EXPR,PLCE,RENT,DBGI"
34,Education & Training Services,Consumer Defensive,98.55,77,60,45,11,"LXEH,APEI,UTI,TAL,EDU,STG,EEIQ,AFYA,LRN,ATGE,LINC,COUR,UDMY,GOTU,PRDO,GHC,STRA,FEDU,VSTA,LOPE,COE,LAUR,WAFU,CHGG,BEDU,AIU,IH,JZ,AACG,VTRU,EDTK,GNS,SKIL,DAO,AMBO,GSUN,YQ,CLEU,QSG,TEDU,TWOU"
35,Insurance—Diversified,Financial Services,98.48,76,80,79,69,"IGIC,GSHD,EQH,AEG,ESGR,AIG,ORI,FGFPP,HIG,ACGLN,ACGLO,ESGRP,PFG,ESGRO,SLF,ACGL,FGF,WDH"
36,Semiconductors,Technology,98.21,76,67,72,96,"AAOI,QUIK,ICG,NVDA,AMD,AVGO,INTC,MU,NA,MRVL,MPWR,FORM,RMBS,AMKR,QCOM,SKYT,ASX,LASR,MTSI,IMOS,NVTS,MRAM,TSM,NXPI,SYNA,UMC,SIMO,QRVO,ADI,MCHP,SQNS,GSIT,SWKS,AIP,STM,TXN,SITM,CRUS,POWI,GFS,VSH,ON,HIMX,CEVA,TSEM,AOSL,NVEC,DIOD,SLAB,SGH,WOLF,PXLW,SMTC,MX,VLN,LSCC,MXL,ALGM,EMKR,WKEY,LEDS,PRSO,POET,WISA"
37,Credit Services,Financial Services,98.19,75,48,77,75,"AHG,YRD,UPST,MFIN,ALLY,AGM,QD,COF,NRDS,NICK,SLM,WRLD,OMF,SNTG,SYF,ATLCP,PT,SOFI,CACC,LC,AXP,ENVA,NISN,XYF,ATLC,JSM,BBDC,DFS,V,SLMBP,LMFA,FCFS,IX,MA,OCSL,NAVI,RWAY,BFH,LPRO,FINV,PRAA,EZPW,WU,MCVT,NNI,CPSS,RM,PYPL,QFIN,PMTS,LX,JT,AIHS,OPRT,FOA,GDOT,DXF,CURO,LU"
