Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
65,Medical Distribution,Healthcare,93.81,57,81,69,58,"CAH,MCK,OMI,ZYXI,PDCO,PBH,HSIC,GEG"
66,Copper,Basic Materials,93.32,56,26,58,89,"SCCO,HBM,FCX,ERO,TGB"
67,Lodging,Consumer Cyclical,93.28,55,46,92,62,"LUXH,IHG,MAR,HLT,H,WH,SHCO,CHH,ATAT,HTHT,GHG,INTG,SOND"
68,Airlines,Industrials,93.06,54,45,13,92,"HA,SKYW,RYAAY,CPA,GOL,AZUL,DAL,VLRS,AAL,UAL,LUV,ALGT,ALK,JBLU,SAVE,SNCY,ATSG,ULCC,MESA"
69,Asset Management,Financial Services,93.06,54,56,53,37,"KKR,HLNE,CRBG,BX,CSWC,TPG,ARES,CG,APO,BUR,APAM,GECC,CTR,BAM,OWL,CEM,BN,BCSF,CCAP,VRTS,PNNT,BK,AMP,BXSL,CION,CEE,BBUC,TWN,CGBD,BKCC,ARDC,STEP,AIF,CIK,HTGC,ACV,MXE,BLK,EMO,MCI,MPV,MXF,TRIN,PFLT,FIF,ADX,VINP,IFN,BANX,CNS,ARCC,IVZ,TSLX,GAIN,JHG,ACP,BEN,FPL,PFX,BWG,GLAD,BTO,HRZN,SCD,BLW,FEI,BGH,FSCO,BTA,AMK,FCO,SSSS,RCS,EVF,GCMG,FGB,GBDC,MAIN,RQI,RGT,BTZ,MUA,CET,MFIC,RNP,CSQ,BHK,AVK,AWF,KIO,BGB,JGH,BFZ,BNY,BGX,MYI,CIF,BGT,BLE,CEV,FPF,STK,FEN,HYT,AFT,BIT,BKN,MQY,BSL,DBL,GRF,HTY,NRO,AFB,CXE,BRW,LRFC,NTRS,BYM,BST,EFR,FSK,STT,VCTR,DSU,BFK,MYN,BHV,HYB,MSD,OFS,JOF,CHY,MUC,TPZ,STEW,IGR,SPE,EVM,PHT,DHY,ENX,FMN,NQP,OIA,NFJ,MIY,MVF,XFLT,DMF,VTN,HPF,ETO,JLS,SEIC,JRI,IDE,KSM,FAM,VCV,MAV,CMU,FAX,VFL,BUI,MUJ,AWP,CII,WEA,ETG,EMD,MYD,PSF,KTF,MUI,WT,GNT,NAN,MQT,PHK,EFT,NXJ,NVG,AOD,EHI,RVT,CXH,JRS,PGP,CHW,MHN,VMO,NTG,VVR,NAC,TTP,EOS,MHD,DSL,TY,BKT,AGD,NZF,BOE,ASG,VPV,PMM,RLTY,HNW,IGI,CGO,FMY,MVT,HIE,GHY,GSBD,BBN,KF,KYN,MPA,FSD,NRK,BME,EAD,JCE,BGY,MHI,GAM,JPI,EEA,NBB,PNI,MCR,VGM,PFL,LDP,NEA,OPP,BGR,JPC,MFD,MFM,PTY,FDUS,NXP,AMG,TCPC,ISD,NMT,SAR,GBAB,RMT,PTA,FFA,GDO,PAI,MUE,USA,NAD,EDD,FTF,JEQ,EIM,JHI,PMO,TEI,NML,VKQ,HIX,HPI,DHF,RFI,PFN,SWZ,CBH,VGI,MMU,NCA,NKX,BTT,EVV,JQC,SLRC,FOF,SWKH,NXG,INSI,HPS,GGZ,NIE,DFP,HIO,NOM,NAZ,IQI,GDV,VKI,CCD,EVN,NPFD,IIM,DSM,SBI,DMO,HQL,EQS,NPV,AEF,OXLCN,ASA,NBH,MMT,PIM,SOR,EOI,NMS,BSTZ,PHD,PFO,BIGZ,TPVG,HYI,NCV,UTG,ECCC,JMM,PAX,JHS,PCK,VBF,NCZ,NMFC,EVG,OXLCO,PPT,GGN,PUYI,FRA,ETY,PDI,IIF,OCCIO,BXMX,FLC,PFD,IAF,IHD,PCN,GJR,FFC,LGI,BMN,CRF,JFR,NXN,CHI,MFV,ERC,BDJ,PCF,IGA,EOT,GDL,NNY,NTRSO,PZC,MHF,VLT,GRX,NUW,EOD,LEO,EDF,OXLCP,MIN,NMI,PYN,GAINN,EGF,PMX,EXG,EMF,NUV,MMD,RMM,BCX,OCCIN,ETX,GF,PDT,THQ,RIV,NDP,TYG,PAXS,CLM,EVT,HQH,NIM,TSI,OXLCM,NXC,FUND,BCV,MGF,NHS,HTD,HNNA,SII,OXLC,FCT,AB,WIW,IAE,PMF,PML,WHF,DIAX,RAND,PGZ,ETV,NMZ,DMA,WIA,IGD,DTF,TROW,ETJ,FT,QQQX,UTF,PEO,GLQ,SCM,ETW,SAMG,GLO,DMB,ETB,ECF,SRV,PNF,MCN,GROW,OXSQ,ERH,BRDG,PCQ,HEQ,CAF,RCG,SPXX,PSEC,TEAF,ICMB,GLU,ALTI,ECC,DPG,GLV,DHIL,BSIG,GGT,MRCC,THW,GAB,FHI,TURN,NEWT,NOAH,PTMN,PCM,GOF,RA,HGLB,GUT,CHN,DNP,GCV,MGLD,OCCI,TDF,PX,CUBA,HFRO,NXDT,GRABW,SFE,AAMC,AINC,AMTD,HYW"
70,Closed-End Fund - Equity,Financial,93.06,54,59,54,55,"ECAT,AIO,BCAT,MEGI,NBXG,CPZ,TBLD,BMEZ,ZTR"
71,Real Estate—Development,Real Estate,92.87,54,37,49,78,"FOR,LSEA,AXR,FPH,ARL,OZ,XIN,AEI,GGE"
72,USA,--- Reference ---,92.59,53,63,78,52,"FNGU,FNGO,BNKU,SMHB,BDCZ,AMUB,AMJ,ATMP,SPY,DGP,ASGI,MLPB,BAR,DLY,TENK,EMCG,NRGU,GLDI,MARX,ISRL,MARXU,PLTN,PFFL,BLACU,UCIB,DGZ,DJP,SLVO,DZZ,NMCO,PTHRU,USOI,GRN,NRGD,VXZ,FNGD,VXX,BNKD"
73,Footwear & Accessories,Consumer Cyclical,92.51,52,82,27,36,"RCKY,DECK,SHOO,SKX,CAL,VRA,WEYS,NKE,CROX,FORD,WWW,AREB"
74,Railroads,Industrials,92.3,52,47,69,62,"FSTR,GBX,WAB,UNP,CNI,CSX,TRN,NSC,CP,RAIL,KIQ,RVSN"
75,Telecom Services,Communication Services,92.23,51,56,60,20,"CXDO,GSAT,USM,TDS,IDCC,FYBR,KORE,TIMB,TEO,CNSL,VIV,CCOI,TIGO,ASTS,IDT,TMUS,VZ,VEON,TKC,FNGR,SIFY,RCI,CMCSA,SHEN,T,RBBN,KT,ATNI,CHT,SKM,PHI,ORAN,BCE,ATEX,LBTYA,TLK,AMX,LBTYK,LBTYB,TU,LBRDP,CHTR,LBRDA,VOD,LBRDK,ATUS,LUMN,LILAK,LILA,RDCM,CABO,TV,OOMA,ANTE,UCL,IRDM,GOGO,IHS,COMS,WOW,MIMO,COMSP"
76,Beverages—Non-Alcoholic,Consumer Defensive,92.2,50,64,52,66,"COKE,CELH,KOF,COCO,CCEP,MNST,FIZZ,PRMW,KO,OTLY,KDP,PEP,BRFH,ZVIA,WTER"
77,Grocery Stores,Consumer Defensive,91.99,50,73,58,23,"NGVC,SFM,VLGEA,DNUT,ACI,IMKTA,ASAI,KR,GO,WMK,DDL"
78,Tools & Accessories,Industrials,91.91,49,40,40,57,"LECO,SCX,RBC,EML,SWK,RBCP,SNA,HLMN,TKR,KMT,TTC,CVR,TBLT"
79,Trucking,Industrials,91.88,49,36,62,53,"DSKE,SAIA,ARCB,RXO,TFII,CVLG,ODFL,KNX,BEST,ULH,MRTN,WERN,SNDR,HTLD,PTSI,YGMZ,TSP"
80,Specialty Business Services,Industrials,91.82,48,66,67,42,"SPIR,VVI,DLHC,SP,OMEX,CTAS,CBZ,GPN,QUAD,TRI,FA,BV,CASS,LICN,RBA,CVEO,ARMK,LZ,ARC,ACTG,ABM,MMS,PFMT,UNF,SST,NTIP,WHLM,TISI,KODK,SGRP,TDCX,RTO,TH,SMX"
81,Biotechnology,Healthcare,91.81,47,15,12,37,"SYBX,LBPH,CDIO,STTK,IMGN,EYPT,GRCL,ALT,AUTL,NKTX,CYTK,IVVD,CASI,BBIO,TCRX,CCCC,IMMX,NAMSW,CBAY,BHVN,HOWL,LIAN,IBRX,ITRM,SYRS,MREO,ABSI,ORTX,FUSN,SLN,EPIX,MRKR,OLMA,SRRK,THRD,ICVX,CGEN,NERV,MLTX,HARP,IMVT,FULC,NUVL,CABA,IRON,APTO,LQDA,RYTM,ALPN,ARMP,LPTX,PHVS,MGNX,MOR,TGTX,BLTE,AKBA,GLYC,APLT,ALRN,INMB,DYN,ALXO,INBX,ANTX,VERA,ACIU,IMNM,SVRA,ARVN,FRLN,CRNX,IDYA,ARDX,CERE,KRTX,RXRX,BPMC,LYRA,ENLV,CLLS,MDXG,COYA,OGEN,ABEO,ANNX,VTGN,IOVA,SPRB,PBYI,GTHX,TNGX,CRVS,MRNS,NBTX,ACXP,SLDB,ACLX,CAPR,OABI,VKTX,TSHA,RCKT,XERS,ACAD,VRCA,SWTX,ADCT,KURA,ASND,CNTA,EVGN,DMAC,CELC,INSM,MRUS,ZYME,CLRB,EWTX,CVM,ADAG,KYMR,CYT,PTGX,KALV,RAPT,SRZN,INO,PCVX,MNMD,IPSC,KROS,BLRX,ARCT,AVRO,NVO,ORIC,YMAB,INVA,CRSP,ELVN,URGN,MBRX,IMMP,KNSA,SANA,VSTM,IMCR,FENC,HRTX,SNDX,INZY,ADMA,CALT,PTN,FDMT,NAMS,CLSD,SMMT,LRMR,MRTX,VRTX,TARS,XENE,ARWR,CNTX,PRAX,ETON,ZVRA,GPCR,AXSM,ATHA,OCUL,CGTX,CLDX,OPT,IONS,ROIV,XOMA,RARE,KRYS,FATE,RVMD,ATOS,RIGL,CNTB,RLMD,EDIT,FOLD,NAUT,CADL,MGTX,EXEL,REGN,LABP,OMGA,MDGL,IGMS,IOBT,OCGN,AVTE,PRQR,PSTX,VYGR,OKYO,NRIX,IMTX,EXAI,PYPD,VCYT,CRDF,BDTX,MIRM,ABUS,ANVS,CYCCP,APLS,VINC,CSBR,IVA,QSI,BMEA,RVPH,LSTA,TNYA,HLVX,LGND,LEXX,VRDN,ALEC,APRE,MACK,INAB,OCS,SAVA,ANIX,HOOK,DAWN,OVID,GLPG,GRPH,SPRY,ELDN,GNFT,VRNA,CGEM,PASG,MDWD,LVTX,QNCX,SNTI,PEPG,VCEL,ACET,CORT,RNA,BMRN,TBPH,PGEN,FHTX,IPHA,RGLS,SPRO,AUPH,PHAR,XOMAP,MRSN,TRDA,CPRX,RLAY,PRLD,PCSA,AFMD,CDXS,PLX,ALKS,ACST,GALT,CRBP,PRTC,NRXP,LTRN,RNXT,FBRX,INCY,EQ,UNCY,SVA,GANX,CTMX,ANAB,BOLT,KNTE,XOMAO,VIRI,NTRB,XBIT,ABCL,NUVB,BNTC,CKPT,RCUS,ELYM,MEIP,PYXS,IMRN,LYEL,KOD,NEXI,CELZ,UTHR,ONTX,ALNY,CUE,EFTR,WVE,ACHV,SABS,ONCT,BEAM,CNSP,IMRX,LEGN,TECH,TYRA,TERN,RANI,HUMA,CDXC,LXRX,ARGX,ELEV,GLSI,EYEN,BNTX,JAZZ,BYSI,ADAP,SNGX,DNA,AGIO,MORF,GERN,ATAI,IMAB,PLRX,CLGN,PHGE,AURA,PHAT,TARA,NRBO,PSTV,HRMY,DRTS,PTCT,ACHL,RGNX,TRVN,KA,AIM,ZLAB,BCAB,XTLB,CYBN,OMER,AVIR,BCTX,VERV,STOK,CRBU,XNCR,JANX,XBIO,ADVM,ICCC,DOMH,THRX,ASMB,LCTX,RPRX,COCP,ABOS,HALO,MRNA,PLUR,LUMO,SCPH,UBX,DYAI,GLUE,ANEB,IMUX,CRMD,CTXR,OBIO,OTLK,PDSB,GNLX,MNKD,INDP,GOSS,IKT,NRSN,ITOS,APM,VALN,PMCB,ATXS,GMAB,NNVC,NXTC,QNRX,NVCT,FBIOP,LIFE,TLSA,BGNE,ALGS,GNTA,NTLA,BCDA,ORMP,DRUG,PULM,ENTX,MOLN,BPTH,RAIN,AIMD,AMRN,AVXL,ARTL,CYCN,ABVC,GLMD,CMRX,DNLI,BCRX,KRON,OCUP,PRTA,SRPT,ALLK,KTTA,CDTX,ABIO,GTBP,PRME,AEZS,TIL,NKTR,OCX,ONVO,EDSA,STRO,TOVX,MTNB,VOR,ATHE,AMLX,ETNB,ADPT,SNSE,ERAS,XFOR,BCLI,CANF,ERNA,VXRT,ZNTL,SAGE,VNDA,TVTX,SILO,ENTA,DTIL,LPCN,TTNP,GRTS,NHWK,RPTX,MNOV,BCYC,ALLO,VIR,ONCY,SPRC,EVAX,MLYS,ATNM,CELU,DSGN,ICU,AKTX,HOTH,INKT,RZLT,GLTO,MLEC,VYNE,NGM,LIPO,SLRX,TRVI,NVIV,JSPR,BRTX,PTIX,IPA,HCWB,ADXN,GOVX,XCUR,QURE,CVAC,AGE,TCRT,SEER,CMPX,ENSC,TSVT,DBVT,ENVB,MRVI,NLSP,IMNN,PPBT,KPRX,TCON,NVAX,FIXX,MAIA,CVKD,GHRS,BIOR,TFFP,KZR,AGEN,LIXT,VIRX,CHRS,IFRX,MESO,DARE,VERU,ZURA,LGVN,NBSE,VBIV,PALI,VAXX,DRMA,SLGL,MTEM,COEP,RVNC,QLGN,MNPR,BTAI,ACRV,AKRO,CARM,REVB,ARQT,MIST,NTRBW,PIRS,PMN,CDMO,GBIO,RLYB,SGMO,FNCH,COGT,FGEN,TENX,AMPE,REPL,ALDX,SNPX,IKNA,EIGR,KPTI,MCRB,ARAV,VTVT,YS,CMMB,PMVP,ADIL,KZIA,MBIO,VRPX,GNPX,BNOX,HEPA,FWBI,CING,CLNN,NCNA,GRTX,BLUE,BPTS,VIGL,INM,ORGS,PRTG,CYTO,WINT,XLO,TNXP,FBIO,JAGX,SLS,CYCC,VCNX,SONN,ALLR,PHIO,RPHM,PBLA,VRAX,GMDA,MYMD,BTTX,AADI,CMND,BCEL,ADTX,APVO,BIVI,NBY,CARA,ASLN,ALVR,ATRA,PROK,ATXI,ATNF,ALZN,OCEA,RNAZ,IBIO,AVTX,SEEL,ZVSA,PXMD,XRTX,VTYX,KTRA,TCBP"
82,Other Precious Metals & Mining,Basic Materials,91.7,47,75,33,64,"ATLX,BVN,ITRG,GATO,SILV,MUX,TFPM,PPTA,NEWP,VOXR,PLG,GROY,MTA,ASM,EXK,AUMN"
83,Financial Conglomerates,Financial Services,91.36,46,10,33,64,"TREE,VOYA,RILYP,RILYL,RILY"
84,REIT—Hotel & Motel,Real Estate,91.09,45,30,38,34,"PK,RHP,HST,DRH,PEB,APLE,RLJ,SHO,CLDT,XHR,INN,SVC,IHT,SOHOO,SOHON,SOHOB,SOHO,BHR,AHT"
85,Utilities—Diversified,Utilities,90.96,45,44,20,35,"OTTR,AESC,ELP,AES,ALE,CIG,SRE,UTL,AVA,BIP,BKH,MGEE,MNTK,NWE,HE"
86,Closed-End Fund - Debt,Financial,90.71,44,41,41,13,"FTHY,RMI"
87,Farm & Heavy Construction Machinery,Industrials,90.64,43,32,54,67,"MNTX,HY,REVG,PCAR,OSK,ALG,TWI,CAT,TEX,GENC,MTW,WNC,LNN,CMCO,DE,AGCO,UGRO,ARTW,CNHI,LEV,ASTE,HYFM,CEAD,XOS,SHYF,NKLA,IDEX"
88,Integrated Freight & Logistics,Industrials,90.59,43,58,63,86,"XPO,EXPD,HUBG,GXO,PBI,RLGT,JBHT,FDX,LSTR,CRGO,SGLY,CHRW,CYRX,AIRTP,UPS,ATXG,ZTO,AIRT,FWRD"
89,Medical Care Facilities,Healthcare,90.33,42,35,37,35,"AVAH,TALK,TOI,BKD,NHC,PNTG,AIRS,CCEL,ENSG,THC,DVA,LFST,AMEH,UHS,CMPS,AMED,CHE,EHC,ACHC,HCA,OPCH,SEM,SGRY,FMS,SNDA,USPH,ADUS,AMS,BTMD,MODV,EHAB,CCRN,CYH,INNV,BACK,HCSG,AMN,JYNT,CCM,PIII,RHE,MD,DCGO,AIH,ATIP,GBNH,IONM,AGL,NVOS,CANO"
90,Internet Retail,Consumer Cyclical,90.21,41,39,37,50,"CVNA,AKA,PDD,HEPS,MELI,AMZN,QRTEP,DIBS,NHTC,W,NEGG,GLBE,QRTEA,DTC,JMIA,SECO,VIPS,LQDT,QRTEB,EBAY,CPNG,ETSY,TDUP,MOGU,RVLV,JFBR,HOUR,LITB,BABA,CHWY,WISH,IPW,JD,SE,PRTS,RERE,OCG,WNW,BZUN,PIK,YJ,DADA,JWEL"
91,Shell Companies,Financial Services,90.13,41,73,83,48,"SYM,DWACU,SWAG,FICVU,DWAC,DHACU,FLME,DECAU,WINVU,DECA,YOTAU,AIBBU,KACLU,AIB,FICV,MCAF,DHAC,HCMAU,MBTCU,VMCAU,OTEC,NOVVU,BYNOU,TWLV,ENCPU,RENEW,CLRCU,PPHPU,ACBA,OXUSU,VAQC,ATEK,NVAC,EAC,APAC,ASCAU,CHAA,KACL,OXUS,AIMAU,AOGOU,EMCGU,TRON,TETE,WEL,OCAXU,IMAQ,OTECU,ADOC,ENCP,GIA,GPAC,OSI,CLRC,DUET,AVHIU,BRAC,PBAX,LBBB,NOVV,EVGRU,PBAXU,MCAAU,TGAA,CSTA,MCAC,MTAL,HCMA,AACIU,LATGU,EVGR,GAMC,APXI,ACBAU,CONX,ACAC,BLEU,ESAC,TGVC,AEAE,IVCP,FNVT,PMGM,ALSA,GPACU,APACU,TRONU,GAQ,SLACU,MBTC,ATMC,BRACU,IXAQ,PEPLU,IFIN,PUCK,BWAQ,OPA,VMCA,GLLI,MCAA,KYCH,PUCKU,DUETU,NRACU,IGTAU,RCAC,AACI,JWSM,LATG,APCA,ARYD,CSLM,EACPU,ALCC,DMAQ,CLOE,CPTK,RCACU,SEDA,CBRG,IVCB,RRAC,TGAAU,QOMO,BYNO,GAMCU,PLAO,ARIZ,IXAQU,ROSS,PGSS,TCOA,NRAC,DPCS,LCAA,PLMI,CFFS,FNVTU,SZZL,TLGY,NFYS,FRLAU,PWUP,BLUA,SCRMU,ALSAU,IVCA,TGVCU,APTM,ONYX,VHAQ,LCW,AFAR,COOLU,INTE,RENE,TRTL,BCSAU,NBST,AQU,PHYT,VSAC,XPDB,APTMU,GMFIU,USCT,PEPL,SCRM,LGST,HSPO,TWOA,COOL,FHLT,RCFA,SLAC,TRIS,FIAC,FLFV,MACAU,AOGO,MCAG,ASCA,BRKH,CHEA,OCAX,AQUNU,ESACU,ACAHU,GHIX,NBSTU,PLAOU,BCSA,SVII,DPCSU,MSSA,TETEU,GMFI,KRNL,CMCA,WNNR,RENEU,HHLA,IGTA,CNGL,DMYY,WAVS,AFARU,CBRGU,LCAAU,LIBY,VCXB,CITE,RFAC,MNTN,ISRLU,LGSTU,PPYA,SKGR,USCTU,GDST,BLEUU,BOCN,EVE,ROCL,ATMCU,MITA,SLAM,MACA,DHCA,MSSAU,WTMAU,FTIIU,XFIN,LBBBU,HCVI,INTEU,SLAMU,AVHI,IVCAU,CDAQ,GATE,BNIX,ACAH,FRLA,CCTSU,MCACU,PWUPU,PFTA,EMLD,FIACU,PEGR,CFFSU,DSAQ,WTMA,XPDBU,BITE,MAQC,MITAU,LGVC,GLLIU,KYCHU,GTAC,TLGYU,WINV,GTACU,ASCB,GHIXU,PTWO,CVII,HSPOU,CCTS,FEXDU,FTII,IRRX,NPABU,HAIA,RFACU,RWOD,PTWOU,SAGAU,PMGMU,ROCLU,TWLVU,KRNLU,FLFVU,IVCPU,ATMVU,BFAC,EMLDU,SHAP,TENKU,ATMV,GBBK,SZZLU,SVIIU,ALTUU,PPHP,PLTNU,PRLH,SWSS,KCGI,GDSTU,FEXD,BRKHU,CSLMU,LCAHU,CNDA,HAIAU,GATEU,HHGC,PORT,XFINU,ASCBU,CDAQU,PPYAU,APXIU,CITEU,IVCBU,ALTU,LCA,GLST,NSTB,PLMIU,QOMOU,CMCAU,ARRW,ACAB,PEGRU,SKGRU,WRAC,BOCNU,HUDA,RWODU,BREZ,HUDAU,CNDB,BWAQU,DHCAU,NPAB,PFTAU,ARIZU,SWSSU,THCPU,ACACU,AEAEU,VSACU,MCAGU,FHLTU,SAGA,ACABU,CHEAU,BACA,MCAFU,PRLHU,THCP,BHAC,GSDWU,IRAAU,HHGCU,LGVCU,GLSTU,YOTA,IRAA,MAQCU,RMGC,ARRWU,CNGLU,CONXU,ADRT,ACAX,ONYXU,RMGCU,LIBYU,ACAXU,NCAC,GATEW,HCVIU,BHACU,WAVSU,IMAQU,RACYU,RACY,CLOEU,TGVCW,NCACU,GRNT,NUBIU,FRLAW,QFTA,NUBI,ATAKU,AGBA,ATAK,HNRA,LIBYW"
92,Chemicals,Basic Materials,90.07,40,39,22,13,"ASPI,CE,MEOH,VHI,DOW,TROX,BAK,WLKP,RYAM,HUN,LXU,ASIX,FF,ORGN"
93,Beverages—Brewers,Consumer Defensive,89.93,39,69,66,72,"FMX,BUD,TAP,ABEV,SAM,CCU,SBEV"
94,Drug Manufacturers—General,Healthcare,89.88,39,29,70,19,"LLY,GRFS,AMGN,NVS,ABBV,GSK,MRK,GILD,AZN,JNJ,SNY,BIIB,BMY,PFE,OGN,SCLX"
95,Oil & Gas Equipment & Services,Energy,89.8,38,35,95,85,"GEOS,AROC,CCLP,WFRD,TDW,NGS,FTI,NR,LBRT,NOA,PFIE,HLX,TTI,USAC,TS,NOV,BKR,MRC,SND,VTOL,KLXE,OII,VAL,HAL,SLB,WTTR,DNOW,WHD,PUMP,FET,NCSM,BOOM,AESI,CHX,SLCA,RNGR,OIS,RES,DRQ,XPRO,SDPI,EFXT,SOI,CLB,FTK,DWSN,ACDC,RCON,ENSV,NINE"
96,Pollution & Treatment Controls,Industrials,89.47,37,58,61,87,"ADES,CECO,FSS,CLIR,TOMZ,ZWS,CLWT,LIQT,FTEK,ERII,SCWO,PCTTU,PCT"
97,Resorts & Casinos,Consumer Cyclical,89.43,37,20,24,80,"BVH,RRR,MGM,MSC,PLYA,GDEN,BYD,LVS,CZR,HGV,PENN,WYNN,MCRI,MTN,FLL,BALY,MLCO,CNTY,VAC,SLNA"
98,REIT—Residential,Real Estate,89.39,35,37,39,50,"ESS,AMH,AVB,INVH,AIRC,ELS,AIV,BRT,SUI,CLPR,EQR,UDR,UMH,CPT,IRT,CSR,VRE,MAA,NXRT"
99,n/a,n/a,89.39,35,99,52,43,"GREEL,XBIOW,ARBKL,CATX,RNWWW,BKDT,OTECW,FBGX,HLP,TMCWW,COOLW,CGABL,DHCNI,CUBB,BNH,UZE,UZF,QVCC,UZD,QVCD,AEFC,KKRS,AMTR,DCF,WUCT,AFGE,CMSA,AFGC,ARGD,HWCPZ,BNJ,AQNB,CMSC,CMSD,DTG,BEPH,KMPB,AFGD,BEPI,WDI,AIZN,NMAI,SOJD,TBB,AFGB,ATCOL,ASBA,NRUC,UNMA,ATLCL,MGRB,HNNAZ,DTW,TBC,GUG,GJH,MGR,HCXY,RMMZ,SREA,GEGGL,AJXA,EIC,SNCRL,CALC,SCCF,MHNC,SOJC,PFXNZ,PYT,ECCW,SOJE,AIC,SCCG,QDROU,NPCT,ECCV,RFM,RCC,FTAIM,PRH,SCCE,GAINZ,MIO,RZB,QDRO,AAIN,TVC,SCCC,MHLA,SAT,ZIONL,SACC,DTB,OXLCL,PRS,INBKZ,SCCD,SEPA,MGRD,RCB,SDHY,BLAC,BIPH,CETUU,GSD,GJT,OXSQG,RFMZ,NSS,CETU,OXSQZ,ECCX,GJO,GJS,TMTCU,OXLCZ,RSF,RZC,RWAYL,HROWM,TFSA,GJP,RWAYZ,FORLU,OFSSH,SBBA,SAY,SCCB,SSSSL,GECCM,FCRX,GECCO,NEWTL,HTFC,SAJ,BIPI,HTFB,TRINL,DUKB,ENO,LIFWW,HROWL,METCL,EICA,RILYO,KTH,NEWTZ,NDMO,KTN,FINS,BHFAL,IHTA,CHKEZ,RILYM,GPJA,SHCRW,SEPAU,CHKEW,ARQQW,TPTA,BWSN,CHKEL,BPYPM,BHM,BWNB,FOSLL,RILYK,OPINL,RILYN,RILYT,ELC,CYTHW,RILYG,IINNW,RILYZ,CTDD,VSSYW,PAVS,TELZ,HPKEW,CSSEN,YGF,HUDAR,LIXTW,SEATW,EVGOW,SKGRW,LIDRW,AMPGW,NLSPW,ALTUW,BDRX,ZFOXW,CCLDP,LUCYW,EOSEW,CCLDO,MYPSW"
100,Banks,Financial Services,89.3,35,54,66,28,"BPOPM,PFH,BANFP"
101,Entertainment,Communication Services,88.95,34,50,28,22,"CPOP,ROKU,KUKE,PLAY,AMCX,NWS,NFLX,NWSA,LVO,SIRI,RSVR,RSVRW,BOWL,LYV,BATRA,AGAE,PARAA,SBGI,EDR,BATRK,WMG,CCZ,ANGH,DIS,NXST,GAIA,HUYA,PARA,WBD,MSGS,FOX,FOXA,CNK,MANU,MCS,MSGE,FWONA,FWONK,PARAP,IQ,IMAX,DLPN,RDI,RDIB,HOFV,CSSEP,BREA,ADD,CSSE,AMC"
102,Utilities—Regulated Water,Utilities,88.61,33,67,62,54,"CWCO,SBS,GWRS,CDZIP,PCYO,AWK,WTRG,CWT,SJW,AWR,YORW,CDZI,ARIS,MSEX,ARTNA"
103,Consulting Services,Industrials,88.01,33,48,76,77,"BWMN,EFX,HURN,BAH,ICFI,VRSK,FCN,GRNQ,FC,TRU,CRAI,EXPO,RGP,FORR,EPOW"
104,Real Estate Services,Real Estate,87.54,32,18,15,44,"OPEN,NMRK,MLP,RDFN,HOUS,MMI,JLL,REAX,CIGI,CBRE,TCN,CWK,RMR,LODE,DOUG,FSV,TCI,LEJU,FRPH,EXPI,CSGP,GYRO,NEN,OPAD,RFL,BPYPO,MAYS,BEKE,BPYPN,BPYPP,MDJH,GBR,PGRU,FTHM,RMAX,KW,DOMA,UK,ASPS,OMH,DUO,ALBT,FLJ"
105,Scientific & Technical Instruments,Technology,87.38,32,22,14,33,"SLNHP,WRAP,VNT,ITRI,GRMN,MINDP,COHR,BMI,FARO,KNW,MKSI,ESE,TDY,MVIS,NOVT,FTV,KEYS,TRMB,SOTK,ELSE,SATL,SVRE,BKSY,LUNA,ST,VPG,CGNX,MLAB,GNSS,FCUV,SLNH,WATT,AWIN,SOBR,MIND"
106,Packaged Foods,Consumer Defensive,87.34,31,33,19,4,"LWAY,BTOG,BRFS,BRBR,NATR,FRPT,BTTR,LFVN,PPC,CENT,SOVO,UTZ,SMPL,CENTA,STKL,NOMD,LSF,INGR,SENEA,KHC,LW,POST,SENEB,FARM,JJSF,JBSS,FREE,BGS,BRID,CYAN,K,CPB,SJM,FLO,WEST,PETZ,HLF,BRCC,CAG,MKC,GIS,THS,LANC,BON,DAR,USNA,HAIN,NCRA,PLAG,NAII,HRL,JVA,BYND,STKH,FAMI,SNAX,NUZE,RGF,SMFL,BSFC"
107,Specialty Chemicals,Basic Materials,87.23,30,28,49,51,"REX,HWKN,KOP,NEU,ODC,HDSN,WDFC,SHW,MTX,ESI,WLK,OEC,ECL,IOSP,RPM,LIN,AXTA,KRO,KWR,CBT,LOOP,BCPC,EMN,FUL,CC,PPG,SCL,LYB,AVNT,DD,AVTR,IFF,OLN,ALTO,NTIC,SXT,APD,ECVT,ASH,LWLG,CMT,GEVO,SQM,GPRE,PRM,NGVT,SSL,GURE,ALB,TSE,FSI,DNMR,FEAM,CNEY,CRKN,SNES"
108,Computer Hardware,Technology,87.12,30,23,57,96,"EBON,SMCI,IONQ,DELL,ANET,LOGI,STX,ALOT,WDC,NTAP,PSTG,TACT,HPQ,INVE,RGTI,SSYS,CAN,DDD,CRSR,OSS,RCAT,KTCC,VJET,NNDM,SCKT,QBTS,TIO,QUBT,CRCT,FATH,MKFG,STRC,DM,UAVS,QMCO,VLD"
